RUN	GenericSageMakerScenario	1628679131-ml.m5.large-1-60TPS	1628679133774	 	3.2.0
USER	SageMaker	1	START	1628679136053	1628679136053
USER	SageMaker	2	START	1628679136073	1628679136073
USER	SageMaker	3	START	1628679136082	1628679136082
USER	SageMaker	4	START	1628679136102	1628679136102
USER	SageMaker	5	START	1628679136122	1628679136122
USER	SageMaker	6	START	1628679136133	1628679136133
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628679136125	1628679136146	OK	 
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628679136085	1628679136124	OK	 
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628679136089	1628679136121	OK	 
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628679136088	1628679136122	OK	 
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628679136105	1628679136131	OK	 
USER	SageMaker	1	END	1628679136053	1628679136152
USER	SageMaker	2	END	1628679136073	1628679136152
USER	SageMaker	3	END	1628679136082	1628679136152
USER	SageMaker	5	END	1628679136122	1628679136152
USER	SageMaker	4	END	1628679136102	1628679136152
USER	SageMaker	7	START	1628679136153	1628679136153
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628679136135	1628679136157	OK	 
USER	SageMaker	6	END	1628679136133	1628679136158
USER	SageMaker	8	START	1628679136172	1628679136172
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628679136155	1628679136181	OK	 
USER	SageMaker	7	END	1628679136153	1628679136182
USER	SageMaker	9	START	1628679136182	1628679136182
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628679136174	1628679136197	OK	 
USER	SageMaker	8	END	1628679136172	1628679136198
USER	SageMaker	10	START	1628679136202	1628679136202
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628679136184	1628679136206	OK	 
USER	SageMaker	9	END	1628679136182	1628679136207
USER	SageMaker	11	START	1628679136222	1628679136222
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628679136205	1628679136226	OK	 
USER	SageMaker	10	END	1628679136202	1628679136227
USER	SageMaker	12	START	1628679136233	1628679136233
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628679136224	1628679136251	OK	 
USER	SageMaker	11	END	1628679136222	1628679136252
USER	SageMaker	13	START	1628679136253	1628679136253
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628679136234	1628679136254	OK	 
USER	SageMaker	12	END	1628679136233	1628679136255
USER	SageMaker	14	START	1628679136272	1628679136272
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628679136255	1628679136277	OK	 
USER	SageMaker	13	END	1628679136253	1628679136278
USER	SageMaker	15	START	1628679136282	1628679136282
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628679136274	1628679136295	OK	 
USER	SageMaker	14	END	1628679136272	1628679136296
USER	SageMaker	16	START	1628679136302	1628679136302
